KEY_CODE,T000918001,T000918002,T000918003,T000918004,T000918005,T000918006,T000918007,T000918008,T000918009,T000918010,T000918011,T000918012,T000918013,T000918014,T000918015,T000918016,T000918017,T000918018,T000918019,T000918020,T000918021,T000918022,T000918023,T000918024,T000918025,T000918026,T000918027,T000918028,T000918029,T000918030,T000918031,T000918032,T000918033,T000918034,T000918035,T000918036,T000918037,T000918038,T000918039,T000918040
534000042,4,0,0,0,0,4,0,0,0,1,0,0,1,1,0,0,0,0,1,14,0,0,0,0,14,0,0,0,9,0,0,1,2,0,0,0,0,2,12,2
534000043,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
534000044,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1
534000051,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
534000103,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,72,0,0,0,0,72,0,0,0,0,0,0,0,0,72,0,0,0,0,25,47
534000122,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3
534000123,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1
534000131,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
534000133,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
534000141,3,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,13,0,0,0,0,4,0,0,0,2,0,0,0,2,0,0,0,0,0,10,3
534000142,5,1,0,1,0,4,0,0,0,1,0,0,0,1,0,0,0,0,2,17,1,0,1,0,16,0,0,0,4,0,0,0,2,0,0,0,0,10,14,3
534000143,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2
534000144,7,3,0,1,2,4,0,0,0,2,0,1,0,0,0,1,0,0,0,79,70,0,3,67,9,0,0,0,5,0,3,0,0,0,1,0,0,0,49,30
534000164,2,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,3,0,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,1
534000194,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1
534000202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
534000204,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,7
534000212,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
534000213,4,2,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,23,18,0,18,0,5,0,0,3,2,0,0,0,0,0,0,0,0,0,18,5
534000214,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
534000221,5,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,3,0,0,191,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,191,0,0,92,99
534000222,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,54,0,0,0,0,54,0,0,0,54,0,0,0,0,0,0,0,0,0,12,42
534000231,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,35,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,35,0,0,4,31
534000232,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3
534000233,7,1,0,1,0,6,0,0,0,1,1,0,0,0,3,0,0,1,0,14,2,0,2,0,12,0,0,0,2,3,0,0,0,3,0,0,4,0,7,7
534000234,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,25,11,0,11,0,14,0,0,0,0,0,0,0,0,0,0,14,0,0,10,15
534000241,5,0,0,0,0,5,0,0,0,1,0,0,1,3,0,0,0,0,0,9,0,0,0,0,9,0,0,0,2,0,0,4,3,0,0,0,0,0,3,6
534000242,7,0,0,0,0,6,0,0,0,1,0,0,0,4,1,0,0,0,0,16,0,0,0,0,10,0,0,0,5,0,0,0,4,1,0,0,0,0,2,14
534000243,4,0,0,0,0,4,0,0,0,2,0,0,0,0,1,1,0,0,0,51,0,0,0,0,51,0,0,0,37,0,0,0,0,1,13,0,0,0,26,25
534000244,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
534000261,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,8,0,0,2,8
534000263,3,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,5,0,0,25,0,0,8,22
534000271,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,101,0,0,0,0,93,0,0,0,0,0,0,0,0,93,0,0,0,0,31,70
534000284,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1
534000301,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1
534000302,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,4,8
534000304,5,1,0,1,0,4,0,0,0,2,0,1,0,0,0,0,1,0,0,51,9,0,9,0,42,0,0,0,11,0,3,0,0,0,0,28,0,0,23,28
534000311,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
534000312,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,132,0,0,0,0,132,0,0,0,0,0,0,0,0,132,0,0,0,0,37,95
534000324,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
534000331,3,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,4,0,3,1,5,0,0,0,5,0,0,0,0,0,0,0,0,0,6,3
534000333,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4
534000341,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,7,1
534000342,11,2,0,1,1,9,0,0,0,6,0,0,0,2,1,0,0,0,0,87,29,0,28,1,58,0,0,0,55,0,0,0,2,1,0,0,0,0,39,48
534000343,3,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,29,4,0,0,4,25,0,0,0,3,0,0,0,0,0,0,0,0,22,20,9
534000344,25,5,0,4,1,20,0,0,1,9,0,0,1,3,3,0,0,1,2,74,18,0,17,1,56,0,0,2,24,0,0,1,6,4,0,0,13,6,45,29
534000351,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
534000353,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
534000354,2,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,10,2,0,0,2,8,0,0,0,8,0,0,0,0,0,0,0,0,0,5,5
534000362,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
534000371,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,16,15,1
534000373,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
534000382,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,25,0,0,0,0,25,0,0,0,0,0,0,0,23,0,0,0,0,2,24,1
534000402,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,2,2
534000411,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1
534000414,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,77,0,0,0,0,77,0,0,0,0,0,0,77,0,0,0,0,0,0,28,49
534000424,6,5,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,27,19,0,12,7,8,0,0,0,8,0,0,0,0,0,0,0,0,0,21,6
534000431,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
534000433,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
534000442,25,4,0,3,1,21,0,0,0,5,0,0,0,7,5,1,3,0,0,75,9,0,7,2,66,0,0,0,23,0,0,0,27,6,3,7,0,0,39,36
534000443,3,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,33,32,0,32,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,32,1
534000444,6,2,0,2,0,3,0,0,0,1,0,1,0,0,0,0,1,0,0,31,7,0,7,0,11,0,0,0,5,0,2,0,0,0,0,4,0,0,25,6
534000451,13,1,0,1,0,12,0,0,0,2,0,0,2,2,2,0,2,1,1,60,3,0,3,0,57,0,0,0,7,0,0,15,4,2,0,16,10,3,30,30
534000452,4,1,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,0,0,97,62,0,0,62,35,0,0,0,2,0,0,0,0,0,0,33,0,0,33,64
534000453,6,3,0,0,3,3,0,0,0,0,0,0,0,0,1,0,1,0,1,108,93,0,0,93,15,0,0,0,0,0,0,0,0,1,0,12,0,2,77,31
534000461,8,1,0,1,0,7,0,0,0,2,0,0,0,0,0,0,4,0,1,78,17,0,17,0,61,0,0,0,4,0,0,0,0,0,0,54,0,3,35,43
534000462,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
534000463,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2
534000464,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,2,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,6,2
534000473,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534000502,3,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,22,19,0,19,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,20,2
534000504,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,13,7
534000511,6,3,0,3,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,39,7,0,7,0,32,0,0,0,31,1,0,0,0,0,0,0,0,0,18,21
534000512,3,2,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,20,18,0,18,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,13,7
534000513,8,4,0,3,1,4,0,0,0,0,0,0,1,0,1,1,1,0,0,26,19,0,16,3,7,0,0,0,0,0,0,2,0,1,3,1,0,0,15,8
534000514,7,1,0,1,0,6,0,0,0,1,1,0,0,0,1,0,1,0,2,41,2,0,2,0,39,0,0,0,20,3,0,0,0,1,0,8,0,7,18,23
534000521,12,3,0,2,1,9,0,0,0,2,0,0,0,1,3,0,2,0,1,87,10,0,5,5,77,0,0,0,4,0,0,0,1,5,0,64,0,3,39,48
534000522,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
534000523,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
534000524,6,3,0,1,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,58,11,0,2,9,27,0,0,0,6,0,0,0,0,0,0,21,0,0,21,37
534000531,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,22,21,0,0,21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,12,10
534000532,5,3,0,0,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,101,90,0,0,90,11,0,0,0,0,0,0,0,0,11,0,0,0,0,48,53
534000533,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
534000534,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,17,0,0,0,0,0,0,0,0,0,15,2
534000541,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7
534000542,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,2,1
534000601,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,13,0
534000602,9,2,0,2,0,7,0,0,0,3,0,0,1,0,1,0,1,1,0,108,9,0,9,0,99,0,0,0,8,0,0,3,0,1,0,82,5,0,31,77
534000603,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12,0,0,3,9
534000604,4,1,0,1,0,3,0,0,1,0,0,0,0,1,1,0,0,0,0,17,2,0,2,0,15,0,0,11,0,0,0,0,1,3,0,0,0,0,12,5
534000611,23,7,0,6,1,16,0,0,0,6,0,0,1,2,2,0,3,0,2,146,28,0,22,6,118,0,0,0,83,0,0,3,14,2,0,14,0,2,49,97
534000612,24,4,0,2,2,20,0,0,1,11,1,0,0,2,2,0,2,0,1,213,13,0,3,10,200,0,0,5,147,1,0,0,6,5,0,28,0,8,73,140
534000614,3,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,12,10,0,10,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,10,2
534000621,10,2,0,0,2,8,0,0,0,2,0,0,0,1,2,1,1,0,1,61,14,0,0,14,47,0,0,0,26,0,0,0,9,3,1,6,0,2,31,30
534000622,14,2,0,2,0,12,0,0,0,4,1,0,3,1,3,0,0,0,0,67,9,0,9,0,58,0,0,0,26,13,0,5,2,12,0,0,0,0,44,23
534000624,5,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,1,0,2,15,0,0,0,0,15,0,0,0,3,0,0,0,0,2,0,5,0,5,6,9
534000631,15,4,0,4,0,11,0,0,0,0,1,0,1,5,2,0,1,0,1,63,15,0,15,0,48,0,0,0,0,12,0,3,15,3,0,1,0,14,35,28
534000632,5,0,0,0,0,5,0,0,1,2,0,0,0,2,0,0,0,0,0,78,0,0,0,0,78,0,0,63,6,0,0,0,9,0,0,0,0,0,61,17
534000633,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
534000634,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4
534000641,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,9,1
534000642,6,3,0,1,2,3,0,0,0,0,0,0,0,1,2,0,0,0,0,17,8,0,1,7,9,0,0,0,0,0,0,0,5,4,0,0,0,0,13,4
534000643,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1
534000644,3,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,20,6,0,0,6,14,0,0,0,14,0,0,0,0,0,0,0,0,0,5,15
534000651,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
534000653,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0
534000654,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,3,2
534000663,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17
534000674,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
534000681,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
534000683,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3
534000684,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,3,1
534000692,3,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,95,0,0,0,0,95,0,0,0,0,0,0,0,26,69,0,0,0,0,25,70
534000703,4,2,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,7,4,0,4,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1,5,2
534000711,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
534000712,4,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,2,25,0,0,0,0,25,0,0,0,4,0,0,0,0,2,0,0,0,19,16,9
534000713,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,4,3
534000721,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
534000722,4,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,1,0,39,0,0,0,0,39,0,0,0,22,0,0,0,0,0,0,0,17,0,26,13
534000723,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,36,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,36,0,0,5,31
534000731,13,0,0,0,0,13,0,0,1,4,0,1,0,2,2,0,3,0,0,131,0,0,0,0,131,0,0,15,81,0,2,0,11,2,0,20,0,0,69,62
534000732,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0
534000733,13,4,0,3,1,9,0,0,0,3,0,0,0,3,2,0,0,1,0,42,8,0,7,1,34,0,0,0,13,0,0,0,14,2,0,0,5,0,19,23
534000734,7,5,0,5,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,25,15,0,15,0,10,0,0,0,0,0,0,0,0,1,0,9,0,0,17,8
534000741,4,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,2,13,0,0,0,0,13,0,0,0,5,0,0,0,0,2,0,0,0,6,12,1
534000743,4,2,0,2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,11,4,0,4,0,7,0,0,0,0,0,0,0,2,0,0,5,0,0,5,6
534000744,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0
534000761,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13
534000783,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
534000792,2,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,0,12,0,5,0,0,0,0,0,11,6
534000793,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1
534000794,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1
534000801,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
534000802,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
534000811,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
534000812,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2
534000822,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
